Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
Q6P1X5;TAF2_HUMAN;TAF2;Transcription initiation factor TFIID subunit 2;154.3616;156.6194;137.1593;104.9697;121.3544;253.2568;152.6682;128.0662;129.7319;219.6717;301.9588;289.5164;149.1496;160.0277;216.6858;392.4742;318.6037;173.1496;202.3737;348.2606
Q6P2Q9;PRP8_HUMAN;PRPF8;Pre-mRNA-processing-splicing factor 8;826.0929;449.0215;612.2405;523.1964;573.0201;680.9594;605.5741;670.7142;619.6882;567.0527;364.4305;495.1494;440.2805;821.6152;687.7343;372.0428;475.9683;631.9948;758.5821;792.447
Q6P4A8;PLBL1_HUMAN;PLBD1;Phospholipase B-like 1;218.2236;71.0134;69.0591;115.6104;92.9748;149.1909;44.2955;70.8428;112.1614;165.908;61.68;63.8317;176.2348;144.3861;168.9615;85.219;70.9218;90.0369;152.0848;326.9431
Q6P4Q7;CNNM4_HUMAN;CNNM4;Metal transporter CNNM4;80.7724;55.8088;38.4813;85.9443;62.1263;92.381;47.7767;39.3217;72.5186;59.4382;90.7501;96.2393;183.1738;153.6568;145.3358;69.8517;74.4665;219.1551;125.8646;128.6537
Q6P4R8;NFRKB_HUMAN;NFRKB;Nuclear factor related to kappa-B-binding protein;216.4023;219.6302;142.4894;131.4469;332.4769;435.9438;229.4252;163.7719;187.4622;263.0408;311.491;232.4552;178.8967;304.5604;492.5449;473.9775;234.3429;216.3855;355.6057;441.1184
Q6P587;FAHD1_HUMAN;FAHD1;Oxaloacetate decarboxylase, mitochondrial;48.8405;123.3995;89.2621;54.3718;82.603;55.6251;83.0155;85.9821;49.6841;70.3621;55.6566;64.6156;60.3826;76.8117;77.9547;79.9185;42.4147;45.2326;61.3576;41.0356
Q6P5R6;RL22L_HUMAN;RPL22L1;Ribosomal protein eL22-like;1343.0509;1096.2983;473.7786;551.0349;839.3129;1252.5571;854.1733;811.2395;621.2129;551.1993;67.5871;15.5337;53.7498;;;39.986;27.158;20.6423;20.0297;24.9273
Q6P996;PDXD1_HUMAN;PDXDC1;Pyridoxal-dependent decarboxylase domain-containing protein 1;;167.9284;80.3794;139.3315;150.526;369.4247;103.6468;85.445;115.2311;161.2447;276.4265;178.9753;162.5957;134.1303;226.5934;343.7995;219.4852;145.3147;105.8735;241.168
Q6PCB5;RSBNL_HUMAN;RSBN1L;Lysine-specific demethylase RSBN1L;241.1557;313.3146;237.8653;217.3304;291.1827;267.8314;256.9435;275.7051;249.9734;307.2122;197.2205;182.5819;131.7622;239.7037;229.5307;274.904;197.2574;124.6661;253.8087;254.3361
Q6PD74;AAGAB_HUMAN;AAGAB;Alpha- and gamma-adaptin-binding protein p34;;1801.8003;1757.8348;1966.6101;;1700.283;1823.0955;1356.7321;2965.8325;;1463.1555;1619.6934;1568.58;2738.4346;1440.5732;953.8738;1475.9969;780.4828;2051.5527;
Q6PI48;SYDM_HUMAN;DARS2;Aspartate--tRNA ligase, mitochondrial;63.7243;224.3754;231.407;91.9595;97.0554;64.005;208.5885;238.3147;63.546;123.5645;390.422;387.3447;179.6763;113.1387;189.2004;376.0704;262.6169;164.0124;97.9292;148.3417
Q6PI98;IN80C_HUMAN;INO80C;INO80 complex subunit C;729.124;309.3395;371.5558;232.7862;815.882;914.8224;324.5708;269.2282;360.957;554.1546;391.6141;360.9305;380.9297;546.6597;1678.9265;465.8927;370.1289;583.3851;744.7705;1125.2094
Q6PIU2;NCEH1_HUMAN;NCEH1;Neutral cholesterol ester hydrolase 1;170.2848;249.5089;112.5274;168.5957;145.0833;146.426;178.0965;167.8868;153.6711;106.5124;183.6928;119.6898;154.7477;82.7468;157.5475;234.6895;181.5997;195.9394;96.7222;185.2814
Q6PJ61;FBX46_HUMAN;FBXO46;F-box only protein 46;;;;;4.3522;;;4.8018;5.2819;;5.0757;;;;;11.812;4.4302;3.2072;;
Q6PJ69;TRI65_HUMAN;TRIM65;E3 ubiquitin-protein ligase TRIM65;;117.7281;63.7453;77.4556;86.2674;;59.1473;62.6491;67.6323;91.1339;80.7882;63.7544;58.6267;;78.7862;100.3404;56.2373;56.333;;57.3288
Q6PJT7;ZC3HE_HUMAN;ZC3H14;Zinc finger CCCH domain-containing protein 14;98.1404;280.0711;361.7055;170.3503;228.4124;207.4116;223.8064;340.6302;326.44;246.0849;232.18;289.5239;219.5881;204.7923;281.3923;375.2788;195.6047;171.3214;219.4719;342.979
Q6PK04;CC137_HUMAN;CCDC137;Coiled-coil domain-containing protein 137;;23.035;14.9397;;22.0286;84.2845;38.7393;21.2281;35.6779;22.8871;52.871;26.1228;3.1329;36.1241;19.6272;69.8657;29.794;13.3628;22.9144;41.8159
Q6PKG0;LARP1_HUMAN;LARP1;La-related protein 1;1163.0463;2024.7321;2041.369;1624.1857;1608.1609;2872.3391;2008.3647;2551.2231;1919.271;2038.4692;580.537;1945.3385;1474.6252;2000.7872;2036.4592;773.9765;1774.2653;1534.4846;1957.1699;2455.8989
Q6PUV4;CPLX2_HUMAN;CPLX2;Complexin-2;662.9039;722.6834;1192.3123;574.5961;603.7795;464.1845;517.4359;1176.584;489.8747;985.6232;219.0612;235.0948;220.776;;;;175.0127;;;106.4686
Q6UB35;C1TM_HUMAN;MTHFD1L;Monofunctional C1-tetrahydrofolate synthase, mitochondrial;127.124;231.9112;188.5862;106.9233;114.7468;;198.4546;168.7295;71.696;149.2827;168.5433;202.1759;104.6362;78.1056;173.0648;221.5005;179.4104;117.9275;72.0204;120.8317
Q6UB99;ANR11_HUMAN;ANKRD11;Ankyrin repeat domain-containing protein 11;90.6712;72.9254;84.2218;53.0382;90.6582;127.4204;91.65;82.2785;80.8705;144.6023;101.1558;75.5503;53.3996;89.4201;128.8361;102.4966;74.6256;48.6578;76.8718;144.1732
Q6UN15;FIP1_HUMAN;FIP1L1;Pre-mRNA 3'-end-processing factor FIP1;233.7538;370.1342;388.4296;246.6556;499.0986;434.7194;397.3975;380.1281;401.2976;640.1618;394.9092;751.3173;425.8608;721.6902;969.4252;432.2161;621.2512;521.0703;680.5841;1218.3724
Q6UW68;TM205_HUMAN;TMEM205;Transmembrane protein 205;41.0596;46.4091;33.8833;31.4516;;50.9983;70.3365;44.4742;58.0053;48.8082;33.783;32.6456;41.6472;;;41.1093;;26.3596;;
Q6UW78;UQCC3_HUMAN;UQCC3;Ubiquinol-cytochrome-c reductase complex assembly factor 3;139.175;201.5947;179.9357;118.9147;185.9997;139.0943;166.5006;113.2619;166.4463;;;;64.6546;80.3495;134.1491;138.7316;;;;124.5943
Q6UWP7;LCLT1_HUMAN;LCLAT1;Lysocardiolipin acyltransferase 1;90.885;83.9005;62.8258;93.6147;80.1083;;83.1867;70.2099;74.8875;90.594;82.0765;65.4421;54.7999;;;105.5667;66.2591;63.1925;;74.455
Q6UWP8;SBSN_HUMAN;SBSN;Suprabasin;746.95;120.2414;169.5922;259.2865;194.5891;281.9819;104.9849;246.9172;255.8105;265.9751;145.0902;93.7936;324.8329;359.4157;137.2009;182.409;173.5811;203.7993;238.7814;216.2011
Q6UXD5;SE6L2_HUMAN;SEZ6L2;Seizure 6-like protein 2;165.7915;173.6815;122.875;137.3866;110.5467;133.6043;112.7226;92.3123;146.4063;200.2165;84.961;82.2344;97.8387;60.8966;62.5126;166.6096;84.4243;135.2785;109.9318;140.5743
Q6UXN9;WDR82_HUMAN;WDR82;WD repeat-containing protein 82;;39.2029;90.7059;50.1294;;58.1593;63.1858;131.7607;34.1099;90.3104;87.3712;71.0661;70.7464;117.0872;;98.1023;90.8913;62.5585;97.5391;
Q6VN20;RBP10_HUMAN;RANBP10;Ran-binding protein 10;;114.5937;78.2511;124.2444;117.1445;68.8133;79.8499;74.6596;131.4054;117.1604;106.2774;100.3313;74.3689;100.3713;124.6204;155.3085;100.1201;83.2398;142.8508;105.2156
Q6WCQ1;MPRIP_HUMAN;MPRIP;Myosin phosphatase Rho-interacting protein;169.7681;141.5859;354.6792;178.0644;309.2375;231.1907;166.9162;280.1999;227.1114;337.4349;121.5156;101.9489;62.9341;41.4032;108.4663;144.7589;81.4047;79.5264;22.3562;70.0658
Q6WKZ4;RFIP1_HUMAN;RAB11FIP1;Rab11 family-interacting protein 1;160.9146;329.7863;294.1335;179.3388;307.8539;369.5201;383.5616;323.8597;286.3344;428.6604;623.1869;711.7677;280.3263;620.2698;814.8353;1076.3389;725.6647;273.2513;657.6437;1072.8943
Q6Y7W6;GGYF2_HUMAN;GIGYF2;GRB10-interacting GYF protein 2;134.8668;130.3202;96.5822;91.6188;119.6181;148.4459;109.4441;101.502;116.2102;166.8791;163.4025;155.9922;112.8548;;189.1082;281.9678;174.8961;126.5683;;132.6317
Q6YHK3;CD109_HUMAN;CD109;CD109 antigen;1356.189;715.8635;685.6823;2632.2502;1222.025;1089.3235;687.846;924.1068;2708.7544;1640.1417;692.2955;436.8829;1167.4672;1109.6619;750.8067;594.8256;508.8787;1232.7516;875.3598;747.223
Q6YN16;HSDL2_HUMAN;HSDL2;Hydroxysteroid dehydrogenase-like protein 2;89.7334;242.9874;224.8411;96.1952;103.1961;110.2249;225.6984;196.9749;153.223;98.4375;583.5843;450.0063;326.4349;142.4008;257.7115;736.3685;379.058;368.2376;158.2375;200.5559
Q6YP21;KAT3_HUMAN;KYAT3;Kynurenine--oxoglutarate transaminase 3;71.7776;38.0144;49.6684;86.8709;;;34.2984;66.479;40.6146;;153.1021;115.2352;181.1343;203.9944;132.1877;131.7141;113.1062;192.0073;158.3122;88.4518
Q6ZMP0;THSD4_HUMAN;THSD4;Thrombospondin type-1 domain-containing protein 4;256.2307;405.3224;447.9636;175.9314;321.4004;333.1848;359.4712;329.5571;199.2731;406.1118;163.1186;131.9559;92.2009;;;337.9047;134.3315;55.323;;
Q6ZT12;UBR3_HUMAN;UBR3;E3 ubiquitin-protein ligase UBR3;228.551;175.8002;45.6543;132.1499;171.0926;;113.7433;81.8906;160.7779;231.944;144.9847;121.4295;132.5113;65.2831;170.9698;160.832;122.9013;117.6899;116.1253;189.6734
Q6ZU65;UBN2_HUMAN;UBN2;Ubinuclein-2;164.0069;138.3909;142.3656;129.0784;136.1765;430.4099;169.8065;156.2074;221.7472;162.51;293.6779;284.838;141.6918;321.1547;359.1083;503.4948;272.152;129.8029;306.6382;402.9367
Q6ZUT6;CCD9B_HUMAN;CCDC9B;Coiled-coil domain-containing protein 9B;;121.6536;105.7512;70.1091;47.7895;;140.4367;136.5247;125.2956;;61.9891;141.0372;105.6513;183.7537;118.1454;72.3541;111.0341;137.5807;209.3441;241.9494
Q6ZVM7;TM1L2_HUMAN;TOM1L2;TOM1-like protein 2;204.3791;240.5015;136.8753;361.4088;633.5676;;242.2692;143.3176;420.3363;581.0928;152.2953;182.9385;189.4051;352.9772;632.9976;190.038;162.1889;120.0387;268.7323;218.8921
Q6ZVX7;FBX50_HUMAN;NCCRP1;F-box only protein 50;397.8638;78.141;94.7859;450.0916;331.466;221.5843;65.0542;115.6249;217.749;174.4163;89.6945;86.3619;285.9739;231.5583;140.8207;179.8171;116.1673;121.5423;254.0933;193.9641
Q6ZWJ1;STXB4_HUMAN;STXBP4;Syntaxin-binding protein 4;;352.4001;120.7776;124.4587;217.5558;148.2731;214.1808;144.8801;174.2138;306.3152;118.3787;155.3697;77.636;108.1315;158.4702;243.3002;131.4069;77.9953;108.9815;156.987
Q6ZYL4;TF2H5_HUMAN;GTF2H5;General transcription factor IIH subunit 5;117.6502;45.1343;56.7537;70.3074;117.7973;142.6062;43.6615;61.5937;133.7311;134.1329;37.4013;51.5243;42.819;168.1053;110.4844;35.0756;51.5122;49.4013;125.1722;117.408
Q709F0;ACD11_HUMAN;ACAD11;Acyl-CoA dehydrogenase family member 11;152.3352;66.4144;;;;126.1059;88.1409;52.8696;229.6832;;81.168;115.1913;;;;107.3528;105.0076;80.8625;97.5581;111.2182
Q70CQ1;UBP49_HUMAN;USP49;Ubiquitin carboxyl-terminal hydrolase 49;;;8.4546;;;;;;16.9354;;38.3549;28.1461;;;;;16.8438;15.9751;;17.1977
Q70UQ0;IKIP_HUMAN;IKBIP;Inhibitor of nuclear factor kappa-B kinase-interacting protein;464.7887;391.3195;333.5247;389.3393;415.5876;413.3017;393.0408;294.0416;438.4608;396.6552;;176.2739;344.8411;;;194.6147;99.4142;160.7038;;
Q71F56;MD13L_HUMAN;MED13L;Mediator of RNA polymerase II transcription subunit 13-like;;41.5331;32.7726;24.4185;;;;28.5552;44.1588;;;;;;;;;;;
Q71SY5;MED25_HUMAN;MED25;Mediator of RNA polymerase II transcription subunit 25;;79.557;39.9106;98.247;;;65.0434;57.1064;95.3844;116.5398;149.5368;123.3023;85.725;;215.037;258.5677;147.8395;76.5869;143.9003;122.8812
Q71UM5;RS27L_HUMAN;RPS27L;Ribosomal protein eS27-like;548.4197;647.4127;394.1884;448.7362;764.0912;745.4741;533.911;439.8103;605.8006;572.6372;510.0745;559.4156;429.4114;497.9909;789.3375;510.8585;450.5443;488.5065;460.3928;646.2807
Q76M96;CCD80_HUMAN;CCDC80;Coiled-coil domain-containing protein 80;116.1882;152.4872;235.8009;101.5584;184.5157;136.7804;109.3129;196.0157;128.3897;185.2536;158.45;89.5224;67.2104;104.7466;66.5534;149.9994;93.1697;64.2984;84.5748;53.8392
Q7KZF4;SND1_HUMAN;SND1;Staphylococcal nuclease domain-containing protein 1;511.503;1056.3707;1146.603;325.6967;506.1359;621.9699;1594.0659;1134.1608;292.8633;502.1115;1030.6757;1569.699;742.0456;1148.6033;1367.8771;953.2872;1950.9061;761.0266;1103.0461;1388.8978
Q7KZI7;MARK2_HUMAN;MARK2;Serine/threonine-protein kinase MARK2;;;35.0848;;;;33.0483;35.2131;54.2899;69.9611;34.8744;46.9954;25.6467;;55.974;34.9439;66.3317;37.4169;;30.8005
Q7L014;DDX46_HUMAN;DDX46;Probable ATP-dependent RNA helicase DDX46;;249.8556;263.7827;195.024;275.4265;173.9166;404.8671;282.3306;197.7757;281.1527;313.6081;269.0575;188.631;254.9696;295.5576;338.2917;273.6313;172.1124;262.073;232.3686
Q7L0Y3;TM10C_HUMAN;TRMT10C;tRNA methyltransferase 10 homolog C;;67.5046;90.5485;;;;74.6149;94.3154;86.0667;107.448;100.4477;105.1324;65.6153;;150.1069;133.1827;86.2963;80.1771;59.0689;66.3417
Q7L1Q6;5MP2_HUMAN;BZW1;eIF5-mimic protein 2;528.159;296.5435;245.3014;621.9016;182.5258;360.7028;194.2127;334.9155;259.7371;203.4631;598.9278;269.5663;564.4276;203.2021;216.1489;564.7383;504.5151;569.2563;214.8813;507.7621
Q7L1W4;LRC8D_HUMAN;LRRC8D;Volume-regulated anion channel subunit LRRC8D;104.0762;142.2457;84.9602;162.0571;130.5305;94.7487;104.7971;62.0379;94.6532;136.2846;105.8364;88.5276;111.6167;77.2789;87.923;119.8724;102.102;143.7124;100.2643;98.5393
Q7L2E3;DHX30_HUMAN;DHX30;ATP-dependent RNA helicase DHX30;152.8758;322.9493;202.4039;136.2411;232.765;254.8396;348.5984;208.6343;133.703;242.6859;235.2902;331.1305;159.0677;227.2116;304.344;398.1443;313.4683;201.6948;217.9816;313.4721
Q7L2H7;EIF3M_HUMAN;EIF3M;Eukaryotic translation initiation factor 3 subunit M;74.8599;16.3569;59.2382;56.1685;83.4985;;92.4674;54.5346;44.2421;57.5788;78.1128;61.7448;39.4361;68.0307;51.6611;40.2615;67.2054;33.987;75.441;88.5763
Q7L3S4;ZN771_HUMAN;ZNF771;Zinc finger protein 771;176.1301;93.2006;120.6311;113.5053;119.0502;217.1957;111.3955;89.4048;154.0452;128.5958;78.9289;78.5158;;97.1092;113.4051;90.0472;73.9981;93.8323;141.4742;102.0759
Q7L576;CYFP1_HUMAN;CYFIP1;Cytoplasmic FMR1-interacting protein 1;191.6645;268.151;173.1046;225.2648;276.8222;166.6221;250.349;167.911;173.1871;228.6907;315.2778;299.2404;178.8161;228.0859;251.7809;389.751;312.9606;243.1962;261.1764;196.8198
Q7L5L3;GDPD3_HUMAN;GDPD3;Lysophospholipase D GDPD3;66.4569;;11.6251;70.9767;;55.1421;14.822;17.9365;70.2099;;;;33.6436;61.4206;;;24.8017;28.0225;52.1508;52.7075
Q7L5Y9;MAEA_HUMAN;MAEA;E3 ubiquitin-protein transferase MAEA;;46.6047;29.7151;48.6626;61.6357;;40.9511;30.8815;53.4819;34.4649;50.8405;52.5205;37.4537;69.4676;80.8949;51.9568;51.7031;45.3819;90.9977;84.3291
Q7L804;RFIP2_HUMAN;RAB11FIP2;Rab11 family-interacting protein 2;117.7269;140.3054;94.3732;56.4695;145.5866;437.4981;169.08;126.9289;121.9431;104.8729;;55.0395;;;;65.7107;59.6755;;;
"Q7L9L4;Q9H8S9";"MOB1B_HUMAN;MOB1A_HUMAN";"MOB1B;MOB1A";"MOB kinase activator 1B;MOB kinase activator 1A";112.4971;179.8602;213.2657;119.3814;188.8476;158.5435;177.1881;144.3945;99.5388;;303.7247;223.4243;163.3258;139.7027;118.1239;247.2674;271.4221;190.7545;;82.4201
Q7RTV0;PHF5A_HUMAN;PHF5A;PHD finger-like domain-containing protein 5A;;478.1889;316.8978;315.7862;;;569.5621;323.0164;404.2278;674.766;399.2902;616.1453;467.1852;725.3738;1046.2131;418.2623;598.6765;504.3524;772.5724;770.0844
Q7Z2T5;TRM1L_HUMAN;TRMT1L;TRMT1-like protein;13.0372;40.5008;21.7874;22.9426;30.8789;24.6879;19.1847;28.4999;41.0395;47.8373;22.8876;36.0886;22.6488;;41.4617;32.2522;36.0889;31.1121;40.6806;44.0191
Q7Z2W4;ZCCHV_HUMAN;ZC3HAV1;Zinc finger CCCH-type antiviral protein 1;64.1882;179.1659;167.0319;80.9284;107.4328;99.8485;171.3779;135.3993;98.9516;87.8833;134.0632;253.9271;113.4574;141.6309;162.1802;197.7043;227.5953;144.8598;118.519;179.579
Q7Z3Y7;K1C28_HUMAN;KRT28;Keratin, type I cytoskeletal 28;;;;837.1033;234.3184;348.2278;;117.8195;309.6619;;;;195.5087;;;;101.4688;;;
Q7Z3Y8;K1C27_HUMAN;KRT27;Keratin, type I cytoskeletal 27;37117.2227;8157.9927;6688.1401;30664.4238;42431.2539;60275.3242;12317.7676;13069.0146;37389.4453;21220.0547;5163.8892;5601.8247;28948.4043;49241.7227;19124.834;14459.1016;18697.3789;10311.6758;45512.0781;29368.8438
Q7Z3Z0;K1C25_HUMAN;KRT25;Keratin, type I cytoskeletal 25;55.2033;17.4781;;;;97.9292;;40.7031;47.5148;;;;45.3433;;;41.2452;50.2104;;73.5322;48.9132
Q7Z406;MYH14_HUMAN;MYH14;Myosin-14;123.535;94.8211;83.6172;225.077;302.0689;59.7138;107.277;93.2973;108.3531;146.3249;158.6673;148.0206;137.0883;144.5641;97.2735;130.2395;167.303;125.3841;228.5732;97.4574
Q7Z417;NUFP2_HUMAN;NUFIP2;FMR1-interacting protein NUFIP2;195.3666;124.381;343.0253;109.4;257.9613;293.7374;132.5472;341.1361;321.8165;375.5826;156.8448;258.0216;135.0275;234.4792;589.598;238.8827;232.3329;141.7899;234.2976;686.1128
Q7Z434;MAVS_HUMAN;MAVS;Mitochondrial antiviral-signaling protein;44.4818;59.0742;78.1817;64.8864;61.6039;94.1566;87.337;72.737;122.5318;83.7948;38.5675;34.6425;28.7312;;37.1072;32.1943;38.0392;42.1372;22.5606;33.2553
Q7Z460;CLAP1_HUMAN;CLASP1;CLIP-associating protein 1;52.2676;45.7674;41.9373;47.0015;48.9575;53.332;28.6889;36.5695;33.4202;48.9207;30.3784;24.2279;29.6983;;44.8716;34.1987;22.631;36.4542;41.2952;40.087
Q7Z4G1;COMD6_HUMAN;COMMD6;COMM domain-containing protein 6;33.1565;48.0611;47.2811;25.3953;;;34.334;33.683;47.3012;46.2288;35.0159;30.269;25.997;;;65.5933;30.5765;;;
Q7Z4W1;DCXR_HUMAN;DCXR;L-xylulose reductase;152.1897;188.4816;138.1961;175.9717;172.3454;133.0189;109.2313;170.2901;111.1739;189.0215;224.366;304.0211;264.564;254.721;229.2382;261.3957;215.7823;292.3263;136.525;167.0911
Q7Z5G4;GOGA7_HUMAN;GOLGA7;Golgin subfamily A member 7;222.3597;133.8658;117.4459;140.5143;93.4407;254.5209;120.57;145.8595;175.3586;107.188;187.7219;96.8675;91.9625;94.856;134.974;252.0874;95.2055;102.5483;127.3453;123.8236
Q7Z6E9;RBBP6_HUMAN;RBBP6;E3 ubiquitin-protein ligase RBBP6;119.1403;76.4566;62.0861;78.6076;67.6336;208.6896;76.6699;81.5713;106.4029;112.6506;124.1176;111.5669;84.2298;126.9597;153.3419;155.9876;100.7888;73.2432;105.2946;195.2512
Q7Z6J0;SH3R1_HUMAN;SH3RF1;E3 ubiquitin-protein ligase SH3RF1;;102.357;37.0003;93.158;;;118.7283;40.0484;79.0226;;98.7966;;101.1622;84.2506;88.3377;137.1789;74.6791;93.7005;;
Q7Z6Z7;HUWE1_HUMAN;HUWE1;E3 ubiquitin-protein ligase HUWE1;;82.7768;50.9552;80.3711;;;46.9207;52.2852;109.6988;;75.2308;70.8148;55.5407;98.2359;85.6764;118.8192;72.0074;52.3018;;120.1304
Q7Z794;K2C1B_HUMAN;KRT77;Keratin, type II cytoskeletal 1b;3579.6755;1661.7412;969.5753;6373.9985;2191.3962;1989.3463;648.652;931.587;3107.9045;3349.542;871.2856;738.6463;2935.6372;3320.4976;1988.4783;1329.1743;996.654;1554.123;2600.917;4201.4399
Q7Z7C8;TAF8_HUMAN;TAF8;Transcription initiation factor TFIID subunit 8;136.1318;86.8714;110.0239;73.4312;111.728;306.2607;92.701;106.9172;140.7761;179.576;234.8738;200.0277;105.7045;241.6392;345.2823;334.2231;221.3582;127.2779;262.1426;404.0608
Q7Z7F7;RM55_HUMAN;MRPL55;Large ribosomal subunit protein mL55;183.3765;115.9778;111.4934;149.1861;210.2172;138.7945;125.4369;149.3525;320.5783;236.9437;49.9216;66.7188;89.6955;176.793;339.7814;77.5775;64.8705;86.5177;210.2033;198.496
Q7Z7H5;TMED4_HUMAN;TMED4;Transmembrane emp24 domain-containing protein 4;;97.7375;96.9585;;;;115.6295;98.4952;105.6977;;141.841;60.0922;96.8952;;;160.6767;72.2714;85.5452;;
Q7Z7K0;COXM1_HUMAN;CMC1;COX assembly mitochondrial protein homolog;186.5754;2378.1836;2231.502;579.4183;494.7504;563.0907;1343.5319;1898.8446;612.7233;668.0055;1341.8511;1682.912;654.4092;478.9557;1325.991;2299.2017;1660.1853;690.6721;568.5653;364.8789
Q806Y6;L_DOBV;L;RNA-directed RNA polymerase L;1230.9575;2083.1658;1686.8439;;;708.7246;742.6639;2039.2526;2504.0554;3817.9644;501.197;553.7089;657.0859;1234.9095;1514.144;530.9604;583.4972;2600.0896;930.5398;3348.2183
Q86SG5;S1A7A_HUMAN;S100A7A;Protein S100-A7A;61.3213;54.8323;351.9915;464.7969;115.7913;31.9764;22.5836;520.3175;103.7603;97.7706;54.6521;54.4792;407.3316;270.4137;68.1589;54.3223;66.0826;145.2291;176.8021;116.8545
Q86SJ2;AMGO2_HUMAN;AMIGO2;Amphoterin-induced protein 2;183.8142;207.8427;101.5788;181.4654;122.7803;178.6425;128.0163;85.4111;134.0979;199.3924;24.267;30.8202;62.5467;;;46.5873;;42.9766;;
Q86SQ0;PHLB2_HUMAN;PHLDB2;Pleckstrin homology-like domain family B member 2;462.9182;87.555;306.3581;126.0707;132.2173;506.3212;122.5494;300.4052;277.2264;274.0169;80.3911;94.6891;60.252;100.0672;123.334;135.417;84.2195;81.2756;126.4351;203.0788
Q86SQ4;AGRG6_HUMAN;ADGRG6;Adhesion G-protein coupled receptor G6;283.6563;312.9777;181.2794;292.731;208.5183;157.8383;147.3751;156.1281;355.2379;269.4104;124.7676;99.7452;95.819;110.6023;79.9296;169.0767;121.6315;155.105;111.5978;128.3347
Q86SX6;GLRX5_HUMAN;GLRX5;Glutaredoxin-related protein 5, mitochondrial;105.1351;188.9272;415.5925;174.0238;58.42;95.6757;210.2429;345.6104;177.6616;159.5346;181.1748;224.8053;160.3444;85.9566;93.0065;114.8862;172.398;160.5446;68.5629;54.4108
Q86TJ2;TAD2B_HUMAN;TADA2B;Transcriptional adapter 2-beta;4383.0781;164.2496;437.4077;;433.2288;346.1327;182.146;366.7887;1527.1135;417.0553;163.5469;128.7807;1111.6906;1904.6112;;146.0827;288.9918;549.6674;1869.158;479.463
Q86TX2;ACOT1_HUMAN;ACOT1;Acyl-coenzyme A thioesterase 1;423.8841;978.7761;797.9464;583.6501;468.7282;413.481;638.5779;814.5746;641.5886;676.6678;216.7187;210.6291;217.3296;189.5479;299.734;146.0719;178.7617;197.5923;160.578;98.045
Q86U06;RBM23_HUMAN;RBM23;Probable RNA-binding protein 23;81.9382;56.9128;105.4318;59.1485;96.1549;105.538;62.3635;64.1086;73.9316;112.7126;102.1321;130.8018;79.897;84.7276;167.2229;134.4944;118.1242;124.9375;110.9081;234.9825
Q86U38;NOP9_HUMAN;NOP9;Nucleolar protein 9;214.2459;326.9012;221.0569;255.4933;181.3979;183.7706;195.3895;125.8931;216.0679;181.926;309.9027;304.5631;321.5103;144.7535;354.1905;335.5932;213.0366;510.715;161.1239;275.0067
Q86U42;PABP2_HUMAN;PABPN1;Polyadenylate-binding protein 2;358.7373;509.8866;660.8555;424.5118;462.6337;618.6785;424.5165;907.3047;836.9772;599.4672;318.5557;344.3845;383.4449;562.9248;693.9788;398.3062;305.1217;279.9438;659.5628;375.1357
Q86UE4;LYRIC_HUMAN;MTDH;Protein LYRIC;770.7673;486.5535;639.9387;643.5579;823.1506;1029.7244;528.6661;640.9323;833.6892;973.6461;571.2381;644.759;430.8177;1153.6409;783.7141;660.4976;576.7674;604.5165;1134.8954;1045.0865
Q86UN3;R4RL2_HUMAN;RTN4RL2;Reticulon-4 receptor-like 2;393.768;885.4594;605.5215;644.2611;438.9068;359.359;430.9373;493.1986;423.0568;635.2808;;;;;;;;;;
Q86UP2;KTN1_HUMAN;KTN1;Kinectin;643.9332;842.7927;1279.6683;397.2062;857.726;738.8664;766.0761;776.1293;645.2003;1374.5718;1299.224;1427.3652;747.3665;851.3807;1142.0044;1663.901;949.2841;873.0876;820.4874;1285.4125
Q86UT8;CATAC_HUMAN;CENATAC;Centrosomal AT-AC splicing factor;;;65.6684;;;;;60.8711;231.1108;;81.7182;157.8949;68.5076;57.27;;153.3783;114.0817;84.9201;;
Q86UY8;NT5D3_HUMAN;NT5DC3;5'-nucleotidase domain-containing protein 3;;25.9031;39.6275;37.6914;;;35.252;46.8431;63.9352;;41.145;36.1944;42.5781;;;81.7073;34.3874;51.602;;
Q86V81;THOC4_HUMAN;ALYREF;THO complex subunit 4;244.3906;786.758;2098.3176;286.5039;223.6892;223.1116;629.3339;2091.3596;265.2413;287.5725;1110.1956;1799.1992;1081.8363;701.1365;1462.4133;1043.8369;1163.5464;994.2123;607.929;552.0601
Q86VP6;CAND1_HUMAN;CAND1;Cullin-associated NEDD8-dissociated protein 1;1284.7527;1808.7523;833.5172;1836.2769;1971.9172;1477.5703;1337.1992;1062.4966;1295.7554;1140.9779;2007.6572;1934.3597;2365.1394;792.1895;1159.9154;2461.1902;2330.2961;2505.571;1119.6459;1279.4066
Q86VS8;HOOK3_HUMAN;HOOK3;Protein Hook homolog 3;;122.1182;47.5421;;;566.1243;72.2455;39.0839;80.3188;;128.0383;29.0574;19.8396;8.9993;;150.0833;52.2831;22.265;;
